indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
20711,Comedy High School,tv show,2018,"Ram Kapoor, Gopal Dutt, Paritosh Tripathi, Krishna Bhatt, Jasmeet Bhatia, Deepak Dutta, Parvati Sehgal, Surleen Kaur",1 Season,1,season,"international tv shows, tv comedies",netflix
20712,Command and Control,movie,2017,sin dato,92 min,92,min,documentaries,netflix
20713,Company,movie,2002,"Ajay Devgn, Vivek Oberoi, Mohanlal, Manisha Koirala, Seema Biswas, Antara Mali, Akash Khurana, Madan Joshi, Vijay Raaz, Rajpal Yadav",137 min,137,min,"action & adventure, dramas, international movies",netflix
20714,Compulsion,movie,2016,"Analeigh Tipton, Jakob Cedergren, Marta Gastini, Jan Bijvoet, Anita Kravos, Valentin Merlet",84 min,84,min,"dramas, thrillers",netflix
20715,Conan Without Borders,tv show,2018,sin dato,1 Season,1,season,"docuseries, tv comedies",netflix
20716,Concrete Football,movie,2016,sin dato,52 min,52,min,"documentaries, international movies, sports movies",netflix
20717,Concussion,movie,2013,"Robin Weigert, Maggie Siff, Johnathan Tchaikovsky, Ben Shenkman, Janel Moloney, Emily Kinney",96 min,96,min,"dramas, independent movies, lgbtq movies",netflix
20718,Conjuring Spirit,movie,2014,"Phuong Mai, Quang Su, Hoang Phuc Nguyen, Chi Pu, Tien Pham, Hoai An",112 min,112,min,"horror movies, international movies, thrillers",netflix
20719,Conor McGregor: Notorious,movie,2017,Conor McGregor,90 min,90,min,"documentaries, sports movies",netflix
20720,Consequences ,movie,2014,"Nehir Erdoğan, Tardu Flordun, İlker Kaleli, Serkan Keskin, Esra Bezen Bilgin, Aytaç Uşun, Cem Özeren, Caner Arçkan",106 min,106,min,"dramas, international movies, thrillers",netflix
20721,Contract,movie,2008,"Adhvik Mahajan, Prasad Purandhare, Sakshi Gulati, Zakir Hussain, Amruta Subhash, Kishore Kadam, Sumeet Nijhawan, Upyendra Limaye",116 min,116,min,"action & adventure, dramas, independent movies",netflix
